name,url,winner,budget
Wings,https://en.wikipedia.org/wiki/Wings_(1927_film),True,2000000
Rocky,https://en.wikipedia.org/wiki/Rocky,True,860000
Shakespeare in Love,https://en.wikipedia.org/wiki/Shakespeare_in_Love,True,25000000
Titanic,https://en.wikipedia.org/wiki/Titanic_(1997_film),True,200000000
The English Patient,https://en.wikipedia.org/wiki/The_English_Patient_(film),True,27000000
Braveheart,https://en.wikipedia.org/wiki/Braveheart,True,65000000
Forrest Gump,https://en.wikipedia.org/wiki/Forrest_Gump,True,55000000
Schindler's List,https://en.wikipedia.org/wiki/Schindler%27s_List,True,22000000
Unforgiven,https://en.wikipedia.org/wiki/Unforgiven,True,14400000
The Silence of the Lambs,https://en.wikipedia.org/wiki/The_Silence_of_the_Lambs_(film),True,19000000
Dances with Wolves,https://en.wikipedia.org/wiki/Dances_with_Wolves,True,22000000
Driving Miss Daisy,https://en.wikipedia.org/wiki/Driving_Miss_Daisy,True,7500000
Rain Man,https://en.wikipedia.org/wiki/Rain_Man,True,25000000
The Last Emperor,https://en.wikipedia.org/wiki/The_Last_Emperor,True,23800000
Platoon,https://en.wikipedia.org/wiki/Platoon_(film),True,6000000
Out of Africa,https://en.wikipedia.org/wiki/Out_of_Africa_(film),True,31000000
Amadeus,https://en.wikipedia.org/wiki/Amadeus_(film),True,18000000
Terms of Endearment,https://en.wikipedia.org/wiki/Terms_of_Endearment,True,8000000
Gandhi,https://en.wikipedia.org/wiki/Gandhi_(film),True,22000000
Chariots of Fire,https://en.wikipedia.org/wiki/Chariots_of_Fire,True,5500000
Ordinary People,https://en.wikipedia.org/wiki/Ordinary_People,True,6200000
Kramer vs. Kramer,https://en.wikipedia.org/wiki/Kramer_vs._Kramer,True,8000000
The Deer Hunter,https://en.wikipedia.org/wiki/The_Deer_Hunter,True,15000000
American Beauty,https://en.wikipedia.org/wiki/American_Beauty_(1999_film),True,15000000
Gladiator,https://en.wikipedia.org/wiki/Gladiator_(2000_film),True,103000000
A Beautiful Mind,https://en.wikipedia.org/wiki/A_Beautiful_Mind_(film),True,58000000
Birdman or (The Unexpected Virtue of Ignorance),https://en.wikipedia.org/wiki/Birdman_(film),True,16500000
The Broadway Melody,https://en.wikipedia.org/wiki/The_Broadway_Melody,True,379000
CODA,https://en.wikipedia.org/wiki/CODA_(2021_film),True,10000000
Everything Everywhere All at Once,https://en.wikipedia.org/wiki/Everything_Everywhere_All_at_Once,True,14300000
Nomadland,https://en.wikipedia.org/wiki/Nomadland,True,5000000
Parasite,https://en.wikipedia.org/wiki/Parasite_(2019_film),True,15500000
Green Book,https://en.wikipedia.org/wiki/Green_Book_(film),True,23000000
The Shape of Water,https://en.wikipedia.org/wiki/The_Shape_of_Water,True,19500000
Moonlight,https://en.wikipedia.org/wiki/Moonlight_(2016_film),True,1500000
Spotlight,https://en.wikipedia.org/wiki/Spotlight_(film),True,20000000
